user_id,age,age_group,gender,device_model,os,avg_screen_time_hrs,daily_data_gb,app_count,battery_drain_pct,charging_freq,primary_use
10077,33,26-35,Female,Redmi Note 11,Android,4.44,3.91,47,58.42,2,Gaming
10078,30,26-35,Male,Galaxy A52,Android,3.63,3.04,120,46.2,1,Social
10079,49,46-60,Male,iPhone 12,iOS,3.99,0.56,69,52.32,1,Work
10080,30,26-35,Male,OnePlus Nord,Android,5.93,2.73,70,72.75,1,Mixed
10081,56,46-60,Female,OnePlus Nord,Android,4.81,4.57,127,64.58,2,Work
10082,43,36-45,Female,Galaxy A52,Android,5.54,2.55,20,58.24,2,Work
10083,47,46-60,Male,Galaxy A52,Android,4.11,0.5,53,60.85,1,Social
10084,29,26-35,Male,OnePlus Nord,Android,3.92,3.1,54,44.27,1,Work
10085,23,18-25,Male,Galaxy A52,Android,2.54,2.34,109,41.97,1,Social
10086,21,18-25,Male,OnePlus Nord,Android,3.87,0.5,80,51.18,1,Work
10087,26,26-35,Female,OnePlus Nord,Android,0.8,0.5,49,30.0,1,Gaming
10088,18,18-25,Female,Redmi Note 11,Android,3.5,3.87,95,50.17,1,Work
10089,27,26-35,Female,iPhone 13,iOS,4.36,1.65,97,49.93,2,Mixed
10090,23,18-25,Male,iPhone 13,iOS,5.46,1.42,122,73.01,3,Gaming
10091,21,18-25,Male,iPhone 12,iOS,4.04,2.55,87,48.13,1,Gaming
10092,43,36-45,Female,Galaxy A52,Android,5.09,1.76,95,53.93,2,Work
10093,34,26-35,Female,Galaxy A52,Android,0.8,2.73,107,30.0,1,Social
10094,35,26-35,Female,OnePlus Nord,Android,4.4,2.34,59,57.09,1,Social
10095,49,46-60,Female,Galaxy A52,Android,1.64,1.04,114,33.6,1,Social
10096,58,46-60,Male,iPhone 13,iOS,2.45,1.94,84,31.39,1,Social
10097,49,46-60,Female,Galaxy A52,Android,4.18,3.18,56,42.45,2,Mixed
10098,19,18-25,Male,OnePlus Nord,Android,6.67,2.65,83,88.75,2,Social
10099,51,46-60,Male,Redmi Note 11,Android,5.13,2.49,20,63.26,1,Gaming
10100,52,46-60,Male,OnePlus Nord,Android,4.53,5.12,34,60.25,3,Work
10101,59,46-60,Male,Galaxy A52,Android,4.47,3.55,32,60.64,1,Work
10102,19,18-25,Female,Redmi Note 11,Android,3.29,3.71,48,42.89,1,Work
10103,24,18-25,Male,Redmi Note 11,Android,3.58,2.38,74,49.16,1,Social
10104,37,36-45,Male,iPhone 13,iOS,5.23,2.89,64,73.86,2,Mixed
10105,29,26-35,Female,Galaxy A52,Android,2.14,2.04,23,33.21,1,Mixed
10106,34,26-35,Male,iPhone 13,iOS,5.51,3.61,83,72.75,2,Work
10107,48,46-60,Male,iPhone 13,iOS,3.84,2.46,34,38.45,1,Gaming
10108,48,46-60,Female,Redmi Note 11,Android,5.9,2.89,127,77.74,3,Social
10109,43,36-45,Male,iPhone 12,iOS,6.13,2.81,123,64.17,3,Social
10110,27,26-35,Male,Galaxy A52,Android,1.66,2.58,67,34.66,1,Work
10111,58,46-60,Male,iPhone 13,iOS,3.51,6.42,95,49.44,1,Gaming
10112,18,18-25,Male,OnePlus Nord,Android,3.05,1.73,75,41.92,1,Social
10113,19,18-25,Female,Redmi Note 11,Android,1.42,1.72,108,30.0,1,Work
10114,28,26-35,Female,Redmi Note 11,Android,2.74,3.5,110,37.88,1,Social
10115,53,46-60,Female,Galaxy A52,Android,8.65,1.83,89,93.58,4,Mixed
10116,49,46-60,Female,iPhone 13,iOS,5.54,2.22,106,66.16,1,Gaming
10117,60,46-60,Female,Galaxy A52,Android,7.76,1.19,34,95.0,3,Social
10118,20,18-25,Male,iPhone 12,iOS,5.91,3.24,58,78.91,2,Mixed
10119,46,46-60,Female,Redmi Note 11,Android,3.24,3.26,88,39.17,1,Social
10120,50,46-60,Female,iPhone 13,iOS,3.85,2.19,106,52.11,1,Work
10121,50,46-60,Female,Redmi Note 11,Android,5.5,3.53,98,67.58,2,Social
10122,57,46-60,Female,OnePlus Nord,Android,5.24,0.5,108,63.55,2,Social
10123,48,46-60,Male,OnePlus Nord,Android,3.52,1.68,79,41.18,1,Social
10124,30,26-35,Male,iPhone 12,iOS,1.93,2.38,113,33.98,1,Social
10125,26,26-35,Male,Galaxy A52,Android,9.0,1.08,63,95.0,4,Mixed
10126,23,18-25,Male,Galaxy A52,Android,4.26,0.5,62,49.6,3,Work
10127,18,18-25,Female,Galaxy A52,Android,3.95,2.2,23,63.23,1,Social
10128,54,46-60,Female,iPhone 12,iOS,4.69,3.5,96,68.03,1,Work
10129,26,26-35,Male,Galaxy A52,Android,4.09,4.27,69,56.19,3,Gaming
10130,20,18-25,Male,OnePlus Nord,Android,4.71,1.89,123,51.71,1,Mixed
10131,19,18-25,Male,Galaxy A52,Android,6.69,3.55,58,81.31,4,Work
10132,32,26-35,Male,iPhone 13,iOS,4.29,3.43,73,56.59,3,Gaming
10133,21,18-25,Male,iPhone 13,iOS,2.52,4.18,42,40.28,1,Social
10134,19,18-25,Male,OnePlus Nord,Android,4.23,2.14,79,63.84,1,Social
10135,56,46-60,Female,Redmi Note 11,Android,3.71,0.5,99,48.04,1,Work
10136,40,36-45,Male,Redmi Note 11,Android,6.92,2.69,54,93.49,3,Social
10137,31,26-35,Male,Galaxy A52,Android,6.49,1.28,73,79.34,4,Work
10138,30,26-35,Female,Redmi Note 11,Android,4.68,1.66,77,57.06,1,Gaming
10139,48,46-60,Male,iPhone 12,iOS,2.33,2.21,81,49.7,1,Social
10140,43,36-45,Female,OnePlus Nord,Android,2.42,2.16,99,41.18,1,Mixed
10141,37,36-45,Female,iPhone 13,iOS,4.53,2.78,67,54.57,3,Mixed
10142,25,18-25,Male,Redmi Note 11,Android,5.07,3.51,26,63.21,1,Work
10143,19,18-25,Male,iPhone 12,iOS,3.86,2.12,64,54.41,1,Work
10144,34,26-35,Male,OnePlus Nord,Android,3.68,3.11,32,47.89,1,Social
10145,38,36-45,Male,OnePlus Nord,Android,3.49,2.62,72,47.7,1,Social
10146,37,36-45,Male,Redmi Note 11,Android,4.46,3.82,112,51.7,3,Mixed
10147,31,26-35,Female,OnePlus Nord,Android,0.8,2.35,58,30.0,1,Social
10148,38,36-45,Male,OnePlus Nord,Android,2.63,2.5,103,38.94,1,Social
10149,59,46-60,Male,iPhone 12,iOS,3.43,2.11,112,47.14,1,Social
10150,45,36-45,Male,iPhone 13,iOS,6.55,2.39,37,80.66,4,Gaming
10151,22,18-25,Female,Redmi Note 11,Android,3.12,1.58,41,39.74,1,Social
10152,20,18-25,Male,Galaxy A52,Android,4.81,1.45,55,52.06,2,Mixed
10153,37,36-45,Male,OnePlus Nord,Android,4.89,3.61,124,55.11,1,Social
10154,20,18-25,Male,OnePlus Nord,Android,6.71,1.19,72,85.43,3,Mixed
10155,40,36-45,Female,Galaxy A52,Android,6.65,2.19,119,74.5,3,Mixed
10156,31,26-35,Male,iPhone 12,iOS,4.4,3.92,91,53.35,3,Gaming
10157,30,26-35,Female,iPhone 13,iOS,3.69,2.14,22,47.03,1,Work
10158,50,46-60,Female,iPhone 13,iOS,3.37,3.68,81,41.98,1,Social
10159,19,18-25,Male,Galaxy A52,Android,4.09,1.83,48,48.74,1,Mixed
10160,59,46-60,Female,iPhone 13,iOS,3.76,1.23,92,44.37,1,Gaming
10161,36,36-45,Male,iPhone 12,iOS,5.44,0.53,27,74.8,2,Social
10162,23,18-25,Female,OnePlus Nord,Android,5.21,4.31,113,68.18,2,Work
10163,30,26-35,Female,OnePlus Nord,Android,5.51,1.12,95,74.59,1,Social
10164,33,26-35,Female,iPhone 13,iOS,6.64,3.57,65,87.1,2,Work
10165,54,46-60,Male,OnePlus Nord,Android,7.67,1.3,111,74.6,3,Social
10166,19,18-25,Female,Redmi Note 11,Android,4.71,4.31,75,61.16,1,Work
10167,20,18-25,Male,OnePlus Nord,Android,6.37,5.47,125,72.18,2,Work
10168,23,18-25,Male,OnePlus Nord,Android,3.9,0.5,68,57.7,1,Social
10169,32,26-35,Male,Galaxy A52,Android,6.51,1.19,62,72.65,4,Mixed
10170,26,26-35,Female,iPhone 13,iOS,6.3,3.61,29,68.68,4,Gaming
10171,41,36-45,Female,iPhone 12,iOS,6.21,3.27,32,65.5,3,Work
10172,23,18-25,Male,OnePlus Nord,Android,4.66,3.61,76,56.78,1,Mixed
10173,29,26-35,Male,Galaxy A52,Android,3.36,1.85,21,51.09,1,Gaming
10174,23,18-25,Male,OnePlus Nord,Android,2.13,5.18,84,34.84,1,Gaming
10175,55,46-60,Female,Galaxy A52,Android,4.43,2.75,105,49.08,2,Social
10176,29,26-35,Male,Galaxy A52,Android,7.11,1.02,116,95.0,3,Work
10177,28,26-35,Female,OnePlus Nord,Android,3.97,2.27,99,55.6,1,Gaming
10178,46,46-60,Male,Redmi Note 11,Android,5.83,1.04,61,74.96,1,Work
10179,31,26-35,Female,OnePlus Nord,Android,5.93,4.67,77,79.01,2,Work
10180,58,46-60,Male,Galaxy A52,Android,4.02,1.74,112,42.36,3,Mixed
10181,30,26-35,Male,Redmi Note 11,Android,6.74,3.24,29,73.93,3,Social
10182,27,26-35,Male,Galaxy A52,Android,0.8,1.99,82,30.0,1,Social
10183,59,46-60,Female,iPhone 13,iOS,2.42,1.8,122,31.34,1,Mixed
10184,25,18-25,Female,OnePlus Nord,Android,2.94,0.5,90,39.75,1,Social
10185,29,26-35,Male,iPhone 12,iOS,3.11,3.38,80,42.63,1,Social
10186,51,46-60,Female,Redmi Note 11,Android,5.07,4.29,20,55.04,3,Mixed
10187,39,36-45,Female,Galaxy A52,Android,4.99,1.41,45,59.74,1,Gaming
10188,26,26-35,Female,iPhone 13,iOS,5.17,0.59,128,69.19,3,Work
10189,32,26-35,Female,Redmi Note 11,Android,5.51,3.64,24,71.48,2,Work
10190,40,36-45,Male,Redmi Note 11,Android,2.88,0.5,54,47.48,1,Social
10191,22,18-25,Male,OnePlus Nord,Android,2.43,4.19,32,42.36,1,Work
10192,44,36-45,Female,Galaxy A52,Android,5.17,1.42,46,66.14,2,Work
10193,56,46-60,Female,iPhone 12,iOS,3.43,1.17,31,48.26,1,Social
10194,36,36-45,Female,OnePlus Nord,Android,1.83,2.92,113,31.82,1,Gaming
10195,22,18-25,Male,Redmi Note 11,Android,6.15,1.25,69,69.74,2,Social
10196,35,26-35,Male,Galaxy A52,Android,6.87,1.68,115,74.52,3,Social
10197,36,36-45,Female,Galaxy A52,Android,7.15,3.06,78,79.36,3,Social
10198,24,18-25,Female,iPhone 13,iOS,4.82,0.5,50,58.24,2,Social
10199,41,36-45,Female,iPhone 12,iOS,5.56,4.74,88,63.67,1,Mixed
10200,55,46-60,Female,Redmi Note 11,Android,6.83,2.66,56,82.78,4,Social
10201,24,18-25,Female,Galaxy A52,Android,3.41,0.92,21,47.31,1,Social
10202,30,26-35,Male,iPhone 12,iOS,6.39,1.28,121,77.76,4,Social
10203,24,18-25,Male,OnePlus Nord,Android,4.97,3.89,90,63.81,2,Work
10204,21,18-25,Female,Redmi Note 11,Android,6.05,3.38,84,79.67,3,Social
10205,42,36-45,Female,Redmi Note 11,Android,4.82,4.4,22,60.15,1,Social
10206,23,18-25,Male,Galaxy A52,Android,6.7,1.71,39,85.05,4,Gaming
10207,37,36-45,Male,iPhone 12,iOS,4.88,2.99,21,63.9,1,Gaming
10208,44,36-45,Female,iPhone 13,iOS,1.98,3.15,61,38.58,1,Gaming
10209,42,36-45,Male,Galaxy A52,Android,6.97,3.5,62,91.39,3,Gaming
10210,42,36-45,Male,OnePlus Nord,Android,2.89,4.07,40,44.36,1,Social
10211,44,36-45,Female,Redmi Note 11,Android,6.63,1.67,64,78.92,2,Gaming
10212,29,26-35,Female,Redmi Note 11,Android,4.35,2.45,115,56.08,1,Work
10213,56,46-60,Female,Redmi Note 11,Android,6.5,1.81,39,74.18,2,Social
10214,56,46-60,Male,iPhone 12,iOS,6.43,2.53,62,73.28,3,Social
10215,35,26-35,Female,OnePlus Nord,Android,5.23,3.51,69,69.71,3,Social
10216,42,36-45,Male,OnePlus Nord,Android,5.36,0.5,114,59.82,2,Social
10217,22,18-25,Male,Redmi Note 11,Android,5.22,4.04,62,73.89,2,Social
10218,39,36-45,Female,Galaxy A52,Android,1.08,1.12,116,30.0,1,Mixed
10219,58,46-60,Female,Galaxy A52,Android,4.7,2.2,43,76.17,1,Gaming
10220,43,36-45,Female,iPhone 12,iOS,2.6,4.22,101,33.84,1,Work
10221,53,46-60,Female,Galaxy A52,Android,4.79,3.03,103,61.4,2,Social
10222,34,26-35,Female,iPhone 12,iOS,2.56,3.04,79,35.49,1,Social
10223,58,46-60,Male,Redmi Note 11,Android,2.49,1.07,51,32.14,1,Work
10224,27,26-35,Male,Redmi Note 11,Android,7.23,1.24,24,90.68,4,Work
10225,44,36-45,Male,OnePlus Nord,Android,6.32,3.82,21,68.57,3,Gaming
10226,37,36-45,Male,Redmi Note 11,Android,4.49,1.83,45,52.84,3,Social
10227,30,26-35,Female,Galaxy A52,Android,4.81,1.96,44,63.62,1,Social
10228,29,26-35,Male,Redmi Note 11,Android,4.08,3.85,69,57.27,3,Mixed
10229,26,26-35,Female,iPhone 12,iOS,5.47,1.24,105,58.35,2,Social
10230,21,18-25,Female,iPhone 12,iOS,3.35,2.95,58,48.99,1,Social
10231,55,46-60,Female,Redmi Note 11,Android,6.19,2.66,105,74.67,4,Social
10232,25,18-25,Male,OnePlus Nord,Android,4.07,2.6,94,47.19,2,Social
10233,60,46-60,Female,Galaxy A52,Android,3.79,1.93,30,45.17,1,Gaming
10234,32,26-35,Male,Galaxy A52,Android,4.54,1.85,82,45.2,2,Gaming
10235,52,46-60,Male,Galaxy A52,Android,3.5,1.2,128,57.3,1,Social
10236,28,26-35,Female,iPhone 13,iOS,5.06,3.23,87,68.69,1,Social
10237,19,18-25,Male,Galaxy A52,Android,3.59,1.73,116,40.17,1,Gaming
10238,49,46-60,Male,Redmi Note 11,Android,5.3,3.86,37,69.79,2,Social
10239,34,26-35,Female,Redmi Note 11,Android,6.57,2.31,114,74.26,4,Social
10240,46,46-60,Male,Galaxy A52,Android,3.28,1.22,127,50.29,1,Mixed
10241,27,26-35,Female,OnePlus Nord,Android,4.28,2.29,47,51.82,1,Gaming
10242,48,46-60,Female,Galaxy A52,Android,5.28,2.07,61,62.62,3,Gaming
10243,56,46-60,Female,Galaxy A52,Android,3.76,3.91,79,47.87,1,Work
10244,43,36-45,Male,OnePlus Nord,Android,5.29,2.12,41,60.96,2,Social
10245,59,46-60,Male,Redmi Note 11,Android,5.44,2.24,59,74.8,2,Mixed
10246,60,46-60,Female,iPhone 12,iOS,6.34,4.44,81,80.79,4,Work
10247,33,26-35,Male,OnePlus Nord,Android,3.47,3.26,22,47.36,1,Social
10248,50,46-60,Female,Redmi Note 11,Android,2.9,4.76,90,47.15,1,Social
10249,30,26-35,Female,iPhone 12,iOS,3.98,4.24,82,42.04,1,Social
10250,56,46-60,Female,Galaxy A52,Android,2.85,1.45,39,33.13,1,Social
10251,30,26-35,Male,OnePlus Nord,Android,5.46,3.89,126,69.45,3,Social
10252,47,46-60,Male,Redmi Note 11,Android,2.53,4.58,90,41.71,1,Social
10253,39,36-45,Female,Redmi Note 11,Android,8.47,4.59,90,95.0,2,Social
10254,41,36-45,Male,OnePlus Nord,Android,6.7,3.88,112,67.7,4,Social
10255,44,36-45,Male,iPhone 13,iOS,4.52,3.86,45,50.83,1,Social
10256,20,18-25,Female,iPhone 13,iOS,5.97,2.21,60,74.2,3,Social
10257,29,26-35,Female,OnePlus Nord,Android,1.72,1.51,22,43.76,1,Social
10258,57,46-60,Female,Redmi Note 11,Android,8.79,2.14,62,95.0,4,Social
10259,29,26-35,Female,Redmi Note 11,Android,3.5,0.5,36,56.46,1,Social
10260,24,18-25,Male,Redmi Note 11,Android,4.3,4.35,123,57.04,3,Work
10261,51,46-60,Female,OnePlus Nord,Android,1.34,2.23,103,30.0,1,Social
10262,52,46-60,Female,Redmi Note 11,Android,5.33,4.28,117,59.1,1,Social
10263,21,18-25,Male,iPhone 13,iOS,2.62,1.0,72,43.91,1,Mixed
10264,52,46-60,Male,Redmi Note 11,Android,4.67,4.01,71,58.26,2,Work
10265,24,18-25,Female,Redmi Note 11,Android,3.57,1.96,52,51.86,1,Gaming
10266,46,46-60,Female,Redmi Note 11,Android,2.67,0.93,99,38.88,1,Gaming
10267,40,36-45,Female,iPhone 13,iOS,3.13,4.72,79,44.97,1,Social
10268,59,46-60,Female,iPhone 12,iOS,4.88,4.04,106,60.27,1,Work
10269,54,46-60,Male,OnePlus Nord,Android,2.32,2.88,87,36.55,1,Work
10270,33,26-35,Male,Redmi Note 11,Android,3.23,2.64,75,50.3,1,Social
10271,30,26-35,Female,iPhone 12,iOS,5.63,3.17,124,60.7,1,Work
10272,53,46-60,Female,Galaxy A52,Android,8.92,2.85,83,92.24,2,Gaming
10273,24,18-25,Female,iPhone 13,iOS,5.31,1.57,123,67.66,1,Social
10274,42,36-45,Female,OnePlus Nord,Android,2.94,2.06,116,50.04,1,Social
10275,33,26-35,Male,Redmi Note 11,Android,3.88,5.15,27,60.96,1,Social
10276,35,26-35,Male,OnePlus Nord,Android,4.55,6.07,88,50.15,1,Social
10277,24,18-25,Female,iPhone 12,iOS,3.91,4.63,52,48.68,1,Social
10278,19,18-25,Female,Galaxy A52,Android,6.04,3.22,44,63.52,4,Social
10279,48,46-60,Female,iPhone 13,iOS,4.87,2.16,90,57.4,1,Social
10280,48,46-60,Female,Redmi Note 11,Android,6.04,1.56,26,79.14,4,Mixed
10281,22,18-25,Female,Redmi Note 11,Android,3.97,1.65,78,51.62,1,Work
10282,51,46-60,Male,Galaxy A52,Android,6.75,1.88,52,77.26,2,Work
10283,33,26-35,Male,Redmi Note 11,Android,4.22,5.4,60,57.47,1,Social
10284,41,36-45,Male,OnePlus Nord,Android,2.85,4.95,52,35.73,1,Social
10285,50,46-60,Female,Redmi Note 11,Android,8.2,3.57,48,95.0,3,Gaming
10286,50,46-60,Male,iPhone 12,iOS,1.4,1.35,127,30.0,1,Social
10287,25,18-25,Male,Redmi Note 11,Android,3.24,3.76,58,41.99,1,Social
10288,18,18-25,Female,iPhone 13,iOS,3.43,2.29,76,49.82,1,Gaming
10289,39,36-45,Male,OnePlus Nord,Android,8.76,0.5,124,95.0,3,Social
10290,18,18-25,Female,iPhone 12,iOS,7.57,2.97,115,95.0,3,Social
10291,21,18-25,Male,Galaxy A52,Android,7.04,1.51,120,81.14,2,Mixed
10292,26,26-35,Male,Redmi Note 11,Android,3.94,1.55,127,57.92,1,Social
10293,29,26-35,Female,Redmi Note 11,Android,8.62,2.27,112,95.0,3,Gaming
10294,33,26-35,Male,OnePlus Nord,Android,5.13,1.95,83,59.63,2,Mixed
10295,21,18-25,Male,iPhone 13,iOS,6.16,2.56,105,68.94,2,Social
10296,57,46-60,Female,Galaxy A52,Android,4.81,2.49,85,53.52,2,Gaming
10297,41,36-45,Female,Galaxy A52,Android,4.42,0.5,28,51.75,2,Social
10298,35,26-35,Male,iPhone 13,iOS,4.07,4.58,48,59.39,3,Gaming
10299,20,18-25,Female,Galaxy A52,Android,4.14,1.32,116,57.64,1,Social
10300,37,36-45,Male,iPhone 12,iOS,5.53,1.36,93,59.85,3,Mixed
10301,22,18-25,Male,OnePlus Nord,Android,5.12,2.17,47,52.72,2,Work
10302,52,46-60,Female,iPhone 13,iOS,4.45,2.46,129,49.83,3,Work
10303,27,26-35,Female,Galaxy A52,Android,7.07,4.5,72,78.04,3,Gaming
10304,27,26-35,Female,Galaxy A52,Android,0.8,2.95,65,30.0,1,Work
10305,45,36-45,Female,OnePlus Nord,Android,5.37,3.34,58,72.74,3,Social
10306,18,18-25,Female,iPhone 13,iOS,5.72,2.96,95,65.91,1,Social
10307,44,36-45,Male,Redmi Note 11,Android,6.45,2.9,77,86.58,4,Social
10308,56,46-60,Male,Redmi Note 11,Android,4.39,3.0,105,45.82,1,Work
10309,37,36-45,Female,OnePlus Nord,Android,4.85,0.5,73,58.41,1,Gaming
10310,36,36-45,Male,iPhone 13,iOS,6.18,2.28,25,78.51,3,Work
10311,59,46-60,Male,iPhone 13,iOS,7.03,4.11,64,87.38,2,Social
10312,47,46-60,Male,iPhone 13,iOS,3.99,7.0,59,49.89,1,Gaming
10313,51,46-60,Male,Galaxy A52,Android,4.95,1.03,42,67.51,1,Social
10314,57,46-60,Female,Galaxy A52,Android,7.35,3.15,117,90.37,3,Gaming
10315,32,26-35,Female,OnePlus Nord,Android,0.89,1.86,61,30.0,1,Social
10316,34,26-35,Female,iPhone 12,iOS,3.33,5.26,57,47.19,1,Social
10317,45,36-45,Male,Redmi Note 11,Android,6.99,0.84,35,86.12,2,Work
10318,53,46-60,Male,Redmi Note 11,Android,6.36,3.41,93,71.94,2,Social
10319,59,46-60,Male,iPhone 12,iOS,5.39,0.77,66,76.07,1,Social
10320,41,36-45,Male,Galaxy A52,Android,3.74,2.19,40,44.39,1,Work
10321,27,26-35,Female,Redmi Note 11,Android,3.0,2.56,93,42.86,1,Work
10322,43,36-45,Female,OnePlus Nord,Android,3.49,3.99,94,39.4,1,Work
